审计ID,模块,业务域,变更类型,迁移前路径,迁移后路径,Git状态,新增行,删除行,规范化代码相似度,依赖替换/Import变化,Android行为审计,平台边界,序列化/数据库影响,静态证据,风险,建议,验证状态,人工结论
CMP-0016,ai,AI Provider,移动并修改（Git 97%）,ai/src/test/java/me/rerere/ai/provider/providers/GoogleProviderMessageTest.kt,ai/src/androidHostTest/kotlin/me/rerere/ai/provider/providers/GoogleProviderMessageTest.kt,R097,2,9,99%,imports: okhttp3.OkHttpClient → —,共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 99%,androidHostTest,JSON/DTO,git=R097; blob f166e04bb54d→1ea3cbd7557a; sha256 0ea8a4d1e638→55f9b0da8150,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0017,ai,AI Provider,新增实现/资源,—,ai/src/androidHostTest/kotlin/me/rerere/ai/provider/providers/ProviderTestFactories.kt,A,12,0,—,imports: — → io.ktor.client,共享实现发生变化；需用迁移前后同断言验证,androidHostTest,无直接持久化标记,git=A; blob —→1831397cfab3; sha256 —→f6fc211327b4,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0018,ai,AI Provider,移动并修改（Git 96%）,ai/src/test/java/me/rerere/ai/provider/providers/openai/ChatCompletionsAPIMessageTest.kt,ai/src/androidHostTest/kotlin/me/rerere/ai/provider/providers/openai/ChatCompletionsAPIMessageTest.kt,R096,5,16,97%,"imports: me.rerere.ai,okhttp3.OkHttpClient → —",共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 97%,androidHostTest,JSON/DTO,git=R096; blob ba48f05e0548→6dee5361bdae; sha256 268d8b2cde36→7823a6bb68d1,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0019,ai,AI Provider,移动并修改（Git 78%）,ai/src/test/java/me/rerere/ai/provider/providers/openai/ChatCompletionsAPIMoonshotTest.kt,ai/src/androidHostTest/kotlin/me/rerere/ai/provider/providers/openai/ChatCompletionsAPIMoonshotTest.kt,R078,7,19,78%,"imports: me.rerere.ai,okhttp3.OkHttpClient → —",共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 78%,androidHostTest,JSON/DTO,git=R078; blob 5c1a26c03865→58e168f9f66f; sha256 c28da22c08a3→14fd32cc765f,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0020,ai,AI Provider,移动并修改（Git 81%）,ai/src/test/java/me/rerere/ai/provider/providers/openai/ChatCompletionsAPIUsageTest.kt,ai/src/androidHostTest/kotlin/me/rerere/ai/provider/providers/openai/ChatCompletionsAPIUsageTest.kt,R081,2,12,85%,"imports: me.rerere.ai,okhttp3.OkHttpClient → —",共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 85%,androidHostTest,JSON/DTO,git=R081; blob 99a9263e024c→8d7b2fba0fe5; sha256 b16d565d8a18→6e6b6780bb51,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0021,ai,AI Provider,新增实现/资源,—,ai/src/androidHostTest/kotlin/me/rerere/ai/provider/providers/openai/OpenAITestFactories.kt,A,12,0,—,"imports: — → io.ktor.client,me.rerere.ai",共享实现发生变化；需用迁移前后同断言验证,androidHostTest,无直接持久化标记,git=A; blob —→3b1d20beafc4; sha256 —→6b3e4291483c,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0022,ai,AI Provider,移动并修改（Git 99%）,ai/src/test/java/me/rerere/ai/provider/providers/openai/ResponseAPIMessageTest.kt,ai/src/androidHostTest/kotlin/me/rerere/ai/provider/providers/openai/ResponseAPIMessageTest.kt,R099,1,2,100%,imports: okhttp3.OkHttpClient → —,共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 100%,androidHostTest,JSON/DTO,git=R099; blob cbc464787f5d→9442cf61ea10; sha256 5afaad86c2db→bacc4e29fcde,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0023,ai,AI Provider,新增实现/资源,—,ai/src/androidMain/kotlin/me/rerere/ai/provider/providers/vertex/JdkVertexRsaSha256Signer.kt,A,26,0,—,"imports: — → java.security.KeyFactory,java.security.Signature,java.security.spec,kotlin.io.encoding",新增 Android 平台实现；需与迁移前对应代码逐句配对,androidMain；actual实现,无直接持久化标记,git=A; blob —→572cc541f7fd; sha256 —→815465cc64f7,中,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0024,ai,文件与图片,移动并修改（Git 71%）,ai/src/main/java/me/rerere/ai/util/FileEncoder.kt,ai/src/androidMain/kotlin/me/rerere/ai/util/FileEncoder.android.kt,R071,28,70,81%,imports: me.rerere.ai → —,Android 平台实现发生内容变化；规范化代码相似度 81%,androidMain；actual实现,无直接持久化标记,git=R071; blob 91b80db6c5be→b8e2bbdff171; sha256 b20bf3bc3262→7dcbd0cb174d,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0025,ai,通用业务,新增实现/资源,—,ai/src/androidMain/kotlin/me/rerere/ai/util/PersistentKeyRoulette.android.kt,A,36,0,—,"imports: — → android.content.Context,java.io.File,kotlin.time.Clock",新增 Android 平台实现；需与迁移前对应代码逐句配对,androidMain,无直接持久化标记,git=A; blob —→dc28deef809f; sha256 —→a24f6f60a1cd,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0026,ai,AI Provider,移动并修改（Git 79%）,ai/src/main/java/me/rerere/ai/provider/ProviderManager.kt,ai/src/commonMain/kotlin/me/rerere/ai/provider/ProviderManager.kt,R079,9,6,77%,OkHttp业务API→Ktor,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 77%,commonMain；未发现 Java/Android import,无直接持久化标记,git=R079; blob ced4abfaf5cd→a15c78e8a5f7; sha256 2e8e9c055dc7→9bf26bd6ad2c,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0027,ai,AI Provider,移动并修改（Git 86%）,ai/src/main/java/me/rerere/ai/provider/ProviderSetting.kt,ai/src/commonMain/kotlin/me/rerere/ai/provider/ProviderSetting.kt,R086,22,16,92%,无可见 import 变化,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 92%,commonMain；未发现 Java/Android import；接口注入候选,序列化契约,git=R086; blob c36df35f6a0a→baaa89154daa; sha256 752519c90751→cd83ba6a5f61,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0028,ai,AI Provider,移动并修改（Git 71%）,ai/src/main/java/me/rerere/ai/provider/providers/ClaudeProvider.kt,ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/ClaudeProvider.kt,R071,144,168,76%,Android/SLF4J→Kermit；OkHttp业务API→Ktor,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 76%,commonMain；未发现 Java/Android import,序列化契约、时间表示、JSON/DTO,git=R071; blob 8b8b1575f532→06d63f113d6d; sha256 79fc055c9dff→61fc83082429,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0029,ai,AI Provider,移动并修改（Git 70%）,ai/src/main/java/me/rerere/ai/provider/providers/GoogleProvider.kt,ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/GoogleProvider.kt,R070,202,229,77%,Android/SLF4J→Kermit；OkHttp业务API→Ktor,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 77%,commonMain；未发现 Java/Android import,序列化契约、时间表示、JSON/DTO,git=R070; blob fcbc27279df9→e78a4d9e2f27; sha256 1a5a9e1c46cc→7f8a924e77ed,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0030,ai,AI Provider,移动并修改（Git 52%）,ai/src/main/java/me/rerere/ai/provider/providers/OpenAIProvider.kt,ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/OpenAIProvider.kt,R052,113,165,62%,Android/SLF4J→Kermit；OkHttp业务API→Ktor,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 62%,commonMain；未发现 Java/Android import,序列化契约、JSON/DTO,git=R052; blob 174e753e84a5→5b1c59f09eeb; sha256 e5be3fbb3878→031e4ebdb436,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0031,ai,AI Provider,移动并修改（Git 81%）,ai/src/main/java/me/rerere/ai/provider/providers/openai/ChatCompletionsAPI.kt,ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/openai/ChatCompletionsAPI.kt,R081,82,152,89%,Android/SLF4J→Kermit；OkHttp业务API→Ktor,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 89%,commonMain；未发现 Java/Android import,序列化契约、时间表示、JSON/DTO,git=R081; blob e7a78dee5e86→69117be40943; sha256 831ae2062adb→e09913089d53,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0032,ai,AI Provider,新增实现/资源,—,ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/openai/OpenAIHttp.kt,A,56,0,—,"imports: — → io.ktor.client,io.ktor.http,kotlinx.coroutines.CancellationException,kotlinx.serialization.json",共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import,序列化契约、JSON/DTO,git=A; blob —→d1973c7177b5; sha256 —→eeba18ddc6c6,高,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待迁移前后行为验证,待审核
CMP-0033,ai,AI Provider,移动并修改（Git 94%）,ai/src/main/java/me/rerere/ai/provider/providers/openai/OpenAIImpl.kt,ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/openai/OpenAIImpl.kt,R094,1,1,92%,无可见 import 变化,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 92%,commonMain；未发现 Java/Android import；接口注入候选,无直接持久化标记,git=R094; blob becfadc2a073→04382fa183a6; sha256 ab7a1973e206→4849890581cc,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0034,ai,AI Provider,移动并修改（Git 87%）,ai/src/main/java/me/rerere/ai/provider/providers/openai/ResponseAPI.kt,ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/openai/ResponseAPI.kt,R087,47,112,92%,Android/SLF4J→Kermit；OkHttp业务API→Ktor,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 92%,commonMain；未发现 Java/Android import,序列化契约、时间表示、JSON/DTO,git=R087; blob 15977887dfe8→9dd9a56a4e1b; sha256 08d8341223b9→30e6d65fcfc7,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0035,ai,AI Provider,新增实现/资源,—,ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/vertex/DefaultVertexRsaSha256Signer.kt,A,5,0,—,imports: — → me.rerere.common,共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import；expect边界,无直接持久化标记,git=A; blob —→cbeb7a30a1a5; sha256 —→814f532e0f05,中,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0036,ai,AI Provider,移动并修改（Git 42%）,ai/src/main/java/me/rerere/ai/provider/providers/vertex/ServiceAccountTokenProvider.kt,ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/vertex/ServiceAccountTokenProvider.kt,R042,88,66,48%,OkHttp业务API→Ktor；java.time→Kotlin time/datetime；java Base64→Kotlin Base64,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 48%,commonMain；未发现 Java/Android import；接口注入候选,序列化契约、时间表示、JSON/DTO,git=R042; blob cbd36e9c9968→cadcc2f07faf; sha256 3667107c89d7→33d39d829998,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0037,ai,文件与图片,新增实现/资源,—,ai/src/commonMain/kotlin/me/rerere/ai/util/FileEncoder.kt,A,46,0,—,imports: — → me.rerere.ai,共享实现发生变化；需用迁移前后同断言验证,commonMain；未发现 Java/Android import；expect边界,无直接持久化标记,git=A; blob —→bc1d8f9be6cc; sha256 —→40fb3d691f91,中,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0038,ai,通用业务,移动并修改（Git 29%）,ai/src/main/java/me/rerere/ai/util/KeyRoulette.kt,ai/src/commonMain/kotlin/me/rerere/ai/util/KeyRoulette.kt,R029,44,59,44%,"imports: android.content.Context,java.io.File → kotlin.time.Clock,kotlin.time.Duration,kotlin.time.Instant",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 44%,commonMain；未发现 Java/Android import；接口注入候选,序列化契约、时间表示、JSON/DTO,git=R029; blob 79c382b9da52→e26987051552; sha256 56373bfca276→00b3b523a9f2,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0039,ai,网络与SSE,移动并修改（Git 71%）,ai/src/main/java/me/rerere/ai/util/Request.kt,ai/src/commonMain/kotlin/me/rerere/ai/util/Request.kt,R071,0,40,77%,"imports: me.rerere.ai,okhttp3.Headers,okhttp3.HttpUrl.Companion,okhttp3.Request → —",原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 77%,commonMain；未发现 Java/Android import,JSON/DTO,git=R071; blob 5f9f7fdefe41→09bcac8d8576; sha256 1fedc4d7fd30→70a9e82d9aab,高,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待迁移前后行为验证,待审核
CMP-0040,ai,通用业务,移动并修改（Git 91%）,ai/src/main/java/me/rerere/ai/util/Serializer.kt,ai/src/commonMain/kotlin/me/rerere/ai/util/Serializer.kt,R091,3,1,96%,java.time→Kotlin time/datetime,原 Android 逻辑迁入共享源集；除平台抽取外应保持语义；规范化代码相似度 96%,commonMain；未发现 Java/Android import,序列化契约、时间表示,git=R091; blob 5773ad553c96→6e4e7ec280fd; sha256 93538748b9ff→0248c571a3a3,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0041,ai,通用业务,移动并修改（Git 96%）,ai/src/test/java/me/rerere/ai/ModelRegistryTest.kt,ai/src/commonTest/kotlin/me/rerere/ai/ModelRegistryTest.kt,R096,4,4,100%,"imports: org.junit.Assert,org.junit.Test → kotlin.test.Test,kotlin.test.assertEquals,kotlin.test.assertFalse,kotlin.test.assertTrue",共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 100%,commonTest,无直接持久化标记,git=R096; blob 6939611274af→db0721a0c99c; sha256 7e63fdf2cfa8→14b2fafa9622,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0042,ai,AI Provider,移动并修改（Git 99%）,ai/src/test/java/me/rerere/ai/provider/providers/ProviderMessageUtilsTest.kt,ai/src/commonTest/kotlin/me/rerere/ai/provider/providers/ProviderMessageUtilsTest.kt,R099,3,3,100%,"imports: org.junit.Assert,org.junit.Test → kotlin.test.Test,kotlin.test.assertEquals,kotlin.test.assertTrue",共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 100%,commonTest,无直接持久化标记,git=R099; blob 240f2cca2b59→c69379d4239f; sha256 a03ea264e022→2ce42b1815c0,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0043,ai,文件与图片,移动并修改（Git 97%）,ai/src/test/java/me/rerere/ai/ui/MessageMetadataTest.kt,ai/src/commonTest/kotlin/me/rerere/ai/ui/MessageMetadataTest.kt,R097,4,4,100%,"imports: org.junit.Assert,org.junit.Test → kotlin.test.Test,kotlin.test.assertEquals,kotlin.test.assertFalse,kotlin.test.assertNull",共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 100%,commonTest,序列化契约、JSON/DTO,git=R097; blob fb0cac762f3f→fc757dcd6680; sha256 1fe8bf6e3c80→f534b9bdca1f,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0044,ai,共享UI,移动并修改（Git 99%）,ai/src/test/java/me/rerere/ai/ui/MessageTest.kt,ai/src/commonTest/kotlin/me/rerere/ai/ui/MessageTest.kt,R099,6,6,100%,"imports: org.junit.Assert,org.junit.Test → kotlin.test.Test,kotlin.test.assertEquals,kotlin.test.assertFalse,kotlin.test.assertTrue",共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 100%,commonTest,JSON/DTO,git=R099; blob ab2a7e69b1ee→b382defbc6c9; sha256 91ef63729f12→3388919e1aaf,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0045,ai,共享UI,移动并修改（Git 87%）,ai/src/test/java/me/rerere/ai/ui/ToolApprovalStateTest.kt,ai/src/commonTest/kotlin/me/rerere/ai/ui/ToolApprovalStateTest.kt,R087,3,3,100%,"imports: org.junit.Assert,org.junit.Test → kotlin.test.Test,kotlin.test.assertFalse,kotlin.test.assertTrue",共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 100%,commonTest,无直接持久化标记,git=R087; blob e5ed923487d6→5fc406f73427; sha256 280ae8053844→33e2014fee44,低,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0046,ai,通用业务,移动并修改（Git 98%）,ai/src/test/java/me/rerere/ai/util/JsonTest.kt,ai/src/commonTest/kotlin/me/rerere/ai/util/JsonTest.kt,R098,2,2,100%,"imports: org.junit.Assert,org.junit.Test → kotlin.test.Test,kotlin.test.assertEquals",共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 100%,commonTest,JSON/DTO,git=R098; blob 1dfd5e653d56→21b03fcd0cb8; sha256 8ce56d9955f4→1d44c9e4426c,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0047,ai,AI Provider,新增实现/资源,—,ai/src/iosMain/kotlin/me/rerere/ai/provider/providers/vertex/VertexRsaSha256Signer.ios.kt,A,117,0,—,"imports: — → kotlin.io.encoding,kotlinx.cinterop.UByteVar,kotlinx.cinterop.addressOf,kotlinx.cinterop.get",新增/调整非 Android 平台实现；检查是否改变共享调用顺序,iosMain；actual实现,无直接持久化标记,git=A; blob —→6666cdee5890; sha256 —→06099dd6848b,中,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0048,ai,文件与图片,新增实现/资源,—,ai/src/iosMain/kotlin/me/rerere/ai/util/FileEncoder.ios.kt,A,62,0,—,"imports: — → kotlin.io.encoding,kotlinx.cinterop.addressOf,kotlinx.cinterop.usePinned,platform.Foundation.NSFileManager",新增/调整非 Android 平台实现；检查是否改变共享调用顺序,iosMain；actual实现,无直接持久化标记,git=A; blob —→2a8523fa72ba; sha256 —→055508436ffd,中,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0049,ai,AI Provider,新增实现/资源,—,ai/src/jvmMain/kotlin/me/rerere/ai/provider/providers/vertex/JdkVertexRsaSha256Signer.jvm.kt,A,28,0,—,"imports: — → java.security.KeyFactory,java.security.Signature,java.security.spec,kotlin.io.encoding",新增/调整非 Android 平台实现；检查是否改变共享调用顺序,jvmMain；actual实现,无直接持久化标记,git=A; blob —→671b963c264f; sha256 —→cce65e2f8067,中,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0050,ai,文件与图片,新增实现/资源,—,ai/src/jvmMain/kotlin/me/rerere/ai/util/FileEncoder.jvm.kt,A,43,0,—,"imports: — → java.io.File,java.net.URI,kotlin.io.encoding",新增/调整非 Android 平台实现；检查是否改变共享调用顺序,jvmMain；actual实现,无直接持久化标记,git=A; blob —→e8c2f4b99f51; sha256 —→0a3cbf8cc18f,中,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0051,ai,网络与SSE,删除且未由Git配对,ai/src/main/java/me/rerere/ai/util/SSE.kt,—,D,0,132,—,"imports: java.io.IOException,okhttp3.Call,okhttp3.Callback,okhttp3.Request → —",旧 Android 文件删除；必须确认替代调用与失败/取消语义,main,无直接持久化标记,git=D; blob e0904d85f5eb→—; sha256 96af3ff5e440→—,高,由 common/src/commonMain/.../http/SSE.kt 的共享 Ktor SSE 实现替代,待迁移前后行为验证,待审核
CMP-0052,app,依赖与构建,原路径修改,app/build.gradle.kts,app/build.gradle.kts,M,22,74,84%,JLatexMath→RaTeX；Room2→Room3,构建/资源层变化；通过产物、依赖图或资源 hash 验证,project,数据库/迁移、DataStore兼容,git=M; blob 5aad7a28f119→89825362637f; sha256 1ff2c4d9b4a5→370aa5c51ed5,高,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待迁移前后行为验证,待审核
