id,decision,title,origin,reason,treatment,action,core_files,core_file_lines,new_basename_files,new_basename_lines,verification
E11,额外抽取,助手技能目录接口,AssistantDetailVM.kt 对 SkillManager 的访问,又增加一套 listSkills 与 AssistantSkillMetadata，重复包装 SkillStore/SkillManager。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,随 SkillManager 迁移一起移除中间 DTO/接口，保持原数据与选择 key 语义。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/assistant/AssistantSkillCatalog.kt
app/src/main/java/me/rerere/rikkahub/ui/pages/assistant/AndroidAssistantSkillCatalog.kt",30,2,30,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E12,额外抽取,会话实体映射类,同名 ConversationRepository.kt 内原转换方法,仅替换 Instant API 即可，却增加 ConversationEntityMapper 再让原方法转发。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,映射方法留在原位置；文件删除与 Android 数据库异常的窄边界另行保留。,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/repository/ConversationRepository.kt,510,0,0,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E13,额外抽取,文件夹映射类和 DAO 回调,同名 FolderRepository.kt 私有扩展与 createFolder,新增 FolderPersistenceMapper，并把已可共享的 ConversationDAO 改成 clearConversationFolder 回调。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,原私有扩展/DAO 依赖保留，改 Instant 取得与转换 API 即可。,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/repository/FolderRepository.kt,71,0,0,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E14,额外抽取,请求日志专用测试接口,同名 Android RequestLoggingInterceptor.kt,新增 RequestLogSink、RequestTimeSource、RequestTimeMark 及实现；文件仍留 Android，跨平台插件又独立实现。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,时间使用 kotlin.time；避免为单一拦截器维护额外时钟/日志接口，保留实际所需 Ktor 插件。,app/src/main/java/me/rerere/rikkahub/data/ai/RequestLoggingInterceptor.kt,107,0,0,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E15,额外抽取,Vertex token HTTP 二次封装,同名 ServiceAccountTokenProvider.kt::getAccessToken,除必要 RSA 平台适配外，新增 ServiceAccountTokenTransport/HttpResponse/KtorServiceAccountTokenTransport 包一条 POST。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,原 Provider 内直接使用 Ktor HttpClient；测试可使用现有 MockEngine；RSA 签名边界保留。,ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/vertex/ServiceAccountTokenProvider.kt,172,0,0,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E16,额外抽取,OAuth 刷新业务 Policy,McpOAuthCoordinator.kt::needsRefresh/computeExpiry,把普通 token 过期判断和时间计算独立为业务 Policy，Clock 替换本身不要求拆类。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,判断留在原 Coordinator；注入已有 Clock 类型即可，无需新增业务策略层。,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/ai/mcp/McpTokenPolicy.kt,28,1,28,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E17,额外抽取,Web 服务生命周期二次分层,web/WebServerManager.kt + web module Server.kt,Host 隔离有必要；另增 Controller 状态机/Mutex/配置校验，再由 Runtime 映射第二套 ManagerState。,ARCHITECTURAL_OPTIMIZATION / MANUAL_REDESIGN,保留真实 engine/前台服务/NSD 边界，尽量沿用原 Manager 与状态，不为迁移新增生命周期规则。,"web/src/commonMain/kotlin/me/rerere/rikkahub/web/WebServerController.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/web/WebServerRuntime.kt
app/src/main/java/me/rerere/rikkahub/web/AndroidWebServerRuntime.kt
composeApp/src/iosMain/kotlin/me/rerere/rikkahub/web/IosWebServerRuntime.kt
composeApp/src/jvmMain/kotlin/me/rerere/rikkahub/web/JvmWebServerRuntime.kt",324,5,324,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
X01,额外脚手架,启动状态和能力演示 UI,无对应业务；同名 app/RikkaHubApp.kt 是 Application 类,新增 Status/Capabilities 页面及演示底栏/侧栏；产品入口传入 productContent 后直接绕过。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,正式入口保留，迁移演示内容移出生产或删除；不误认为同名 Application 的搬移。,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/shared/RikkaHubApp.kt,160,0,0,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
B01,混合需收窄,聊天后续方法抽取,ChatService.kt + GenerationHandler.kt 原业务方法,主体大体保留原行为；但因两个 runtime 共存而增加 Generator/Manager 与大量回调，是前序分叉的后续成本。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,当前不盲删；原 ChatService/GenerationHandler 统一时将主体放回原职责，再删除无用包装。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/service/ConversationTitleGenerator.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/service/ConversationSuggestionGenerator.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/service/ConversationCompressor.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/service/MessageTranslationManager.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/service/TextTranslationGenerator.kt",415,5,415,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
B02,混合需收窄,聊天页面大范围平台容器,ChatPage.kt + ChatInput.kt + ChatMessage.kt/消息操作组件,IME、音量键、截图和系统选择器需适配，但整块错误、加载、附件及预览 UI 也放入平台接口和 fallback。,REQUIRED_FOR_KMP（系统入口）/ ANDROID_ONLY；容器扩张为 ARCHITECTURAL_OPTIMIZATION,共用原 Compose UI，仅在系统动作及不能共享的组件上留 expect/actual 或原参数 slot。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/chat/ChatPagePlatformContent.kt
app/src/main/java/me/rerere/rikkahub/ui/pages/chat/AndroidChatPagePlatformContent.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/components/ai/ChatInputPlatformContent.kt
app/src/main/java/me/rerere/rikkahub/ui/components/ai/AndroidChatInputPlatformContent.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/components/message/ChatMessagePlatformActions.kt
app/src/main/java/me/rerere/rikkahub/ui/components/message/AndroidChatMessagePlatformActions.kt",932,6,932,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
B03,混合需收窄,模板引擎兼容层与多余转发,TemplateTransformer.kt 内 Pebble 构造、缓存和渲染,Pebble 换 Korte 与过滤器兼容合理；Default→Korte 转发、ContextFactory 及多个接口并非全部必要。,REQUIRED_FOR_KMP / REWRITEABLE；部分 ARCHITECTURAL_OPTIMIZATION,保留最小引擎语义兼容层与原缓存；普通上下文构造可留 Transformer 内。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/shared/template/MessageTemplateRenderer.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/shared/template/KorteMessageTemplateRenderer.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/ai/transformers/TemplateTransformer.kt",266,2,194,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
B04,混合需收窄,通用并发 Map 的自研实现,ChatService/McpSessionRegistry/McpOAuthCoordinator 的 ConcurrentHashMap,多个调用点使用，属于可抽取 util；但 Ready/Pending/CAS/自旋等待是新并发实现，并非简单替换依赖。,REQUIRED_FOR_KMP / MANUAL_REDESIGN,优先保留原并发语义；评估窄 expect/actual 容器是否减少成本；已修复 ANR 不应直接回滚。,common/src/commonMain/kotlin/me/rerere/common/concurrent/AtomicSnapshotMap.kt,155,1,155,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
B05,混合需收窄,TTS 调度数据结构抽取,tts/controller/TtsController.kt 队列、allChunks、缓存,JDK 容器需替换；新增三泛型业务 Store、Pending/CAS/自旋，并非迁移调度主体所必需。,REQUIRED_FOR_KMP / MANUAL_REDESIGN；额外业务抽取,业务调度保留原 TtsController；容器适配单独解决并保持取消与队列语义。,speech/src/commonMain/kotlin/me/rerere/tts/controller/TtsSchedulingStore.kt,138,1,138,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
B06,混合需收窄,手写 ZIP 容器,java.util.zip 的多个归档调用点,ZIP 平台边界合理；共同容器/CRC32/raw-deflate 编排是新实现，当前显式不支持 ZIP64。,REQUIRED_FOR_KMP / MANUAL_REDESIGN,保留小归档 API；优先沿用各平台成熟 ZIP 实现或经验证的 KMP 库，不把手写 ZIP 视为必选。,"common/src/commonMain/kotlin/me/rerere/common/archive/ZipArchive.kt
common/src/commonMain/kotlin/me/rerere/common/archive/CommonZipArchive.kt
common/src/commonMain/kotlin/me/rerere/common/archive/RawDeflateCodec.kt
common/src/commonMain/kotlin/me/rerere/common/archive/ZipCrc32.kt
common/src/androidMain/kotlin/me/rerere/common/archive/PlatformZipArchive.kt
common/src/iosMain/kotlin/me/rerere/common/archive/PlatformZipArchive.kt
common/src/jvmMain/kotlin/me/rerere/common/archive/PlatformZipArchive.kt",885,7,885,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
B07,混合需收窄,通知 Policy/Coordinator/Presenter,service/ChatNotificationManager.kt,系统通知与前台事件适配必要，原事件/节流主体可以共享；另拆 Policy/Coordinator 不是必要条件。,REQUIRED_FOR_KMP / ANDROID_ONLY；部分 ARCHITECTURAL_OPTIMIZATION,保留原 Manager 业务与平台 Presenter/前台事件，减少同层策略类。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/platform/ChatNotification.kt
composeApp/src/androidMain/kotlin/me/rerere/rikkahub/platform/AndroidChatNotificationManager.kt
composeApp/src/iosMain/kotlin/me/rerere/rikkahub/platform/IosChatNotificationManager.kt
composeApp/src/jvmMain/kotlin/me/rerere/rikkahub/platform/JvmChatNotificationManager.kt
app/src/main/java/me/rerere/rikkahub/service/AndroidChatNotificationPresenter.kt
composeApp/src/iosMain/kotlin/me/rerere/rikkahub/platform/IosUserNotificationPresenter.kt
composeApp/src/jvmMain/kotlin/me/rerere/rikkahub/platform/JvmSystemTrayChatNotificationPresenter.kt",610,7,610,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
B08,混合需收窄,非 Android 产品入口与整套 DI,RouteActivity.kt + di/AppModule/DataSourceModule/RepositoryModule/ViewModelModule.kt,iOS/Desktop 入口与平台实例注入必要；重新维护整套业务绑定和二十余入口参数是分叉成本。,REQUIRED_FOR_KMP / ANDROID_ONLY；部分 ARCHITECTURAL_OPTIMIZATION,共用原业务 Koin module，平台侧只供给 engine、路径及系统实例；保留各端实际生命周期。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/shared/SharedProductApp.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/shared/SharedProductModule.kt",519,2,519,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
B09,混合需收窄,文件工具和新的目录布局,FilesManager.kt + 原附件导入调用,多处共用的复制/写文件 util 合理；新 platform-files/attachments 路径与旧备份/删除约定尚未对齐。,REQUIRED_FOR_KMP / REWRITEABLE；目录变化有语义风险,保留文件 util/平台 I/O，沿用原目录及失败约定；统一备份、fork 与清理。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/platform/PlatformFileStore.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/service/SharedChatAttachmentStore.kt",189,2,189,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
B10,混合需收窄,JavaScript executor 与 HTTP 适配,common/js/QuickJSFetch.kt + LocalTools/JavaScriptTool.kt 的 QuickJS 使用,换 QuickJS-KT、保留同步 fetch/超时/结果格式需要适配；单一包装或兼容执行器合理，测试 Observer 和多层 DTO/Transport 可精简。,REQUIRED_FOR_KMP / REWRITEABLE；部分 RECOMMENDED,保留脚本兼容语义；按实际库差异限定层数，不把整个 executor 判为多余。,"common/src/commonMain/kotlin/me/rerere/common/js/JavaScriptExecutor.kt
common/src/commonMain/kotlin/me/rerere/common/js/DefaultJavaScriptExecutor.kt
common/src/commonMain/kotlin/me/rerere/common/js/KtorJavaScriptHttpTransport.kt",428,3,428,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
R01,合理保留,网络换库与多调用点协议工具,原 AI/Search/TTS/ASR Provider 的 OkHttp/回调协议与 RequestLoggingInterceptor,Ktor+平台 engine 是合理换库；复用的请求/编码函数及回调到协程兼容层不等于新业务架构。,REQUIRED_FOR_KMP / REWRITEABLE,保留请求与取消契约；不要在此基础上增加业务 Repository/UseCase。,"ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/openai/OpenAIHttp.kt
search/src/commonMain/kotlin/me/rerere/search/SearchHttp.kt
search/src/commonMain/kotlin/me/rerere/search/SearchQueryEncoder.kt
speech/src/commonMain/kotlin/me/rerere/tts/provider/providers/RemoteTtsHttp.kt
speech/src/commonMain/kotlin/me/rerere/asr/providers/BatchAsrHttp.kt
speech/src/commonMain/kotlin/me/rerere/asr/providers/AsrWebSocketTransport.kt
speech/src/commonMain/kotlin/me/rerere/asr/providers/VolcengineFrameCodec.kt
common/src/commonMain/kotlin/me/rerere/common/logging/RequestLoggingPlugin.kt
common/src/commonMain/kotlin/me/rerere/common/http/SSE.kt
ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/GoogleProvider.kt
ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/ClaudeProvider.kt
ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/OpenAIProvider.kt",2596,8,802,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
R02,合理保留,附件平台编码,ai/util/FileEncoder.kt,common 保留同名入口，Bitmap/EXIF/本地文件读取移到 actual。,REQUIRED_FOR_KMP / ANDROID_ONLY,保留窄 expect 函数和原编码语义。,"ai/src/commonMain/kotlin/me/rerere/ai/util/FileEncoder.kt
ai/src/androidMain/kotlin/me/rerere/ai/util/FileEncoder.android.kt
ai/src/iosMain/kotlin/me/rerere/ai/util/FileEncoder.ios.kt
ai/src/jvmMain/kotlin/me/rerere/ai/util/FileEncoder.jvm.kt",389,3,343,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
R03,合理保留,加密与安全随机平台实现,Chatbox 稳定 UUID、S3 签名、MCP PKCE、Vertex RSA/JDK 安全 API,隔离真实平台密码学；上层签名与业务流程保持原有形状。,REQUIRED_FOR_KMP / ANDROID_ONLY,保留；不要手写密码算法替代成熟实现。,"common/src/commonMain/kotlin/me/rerere/common/crypto/Md5Digest.kt
common/src/commonMain/kotlin/me/rerere/common/crypto/Sha256Crypto.kt
common/src/commonMain/kotlin/me/rerere/common/crypto/RsaSha256Signer.kt
common/src/commonMain/kotlin/me/rerere/common/crypto/PlatformSecureRandom.kt
common/src/androidMain/kotlin/me/rerere/common/crypto/PlatformSecureRandom.android.kt
common/src/iosMain/kotlin/me/rerere/common/crypto/PlatformSecureRandom.ios.kt
common/src/jvmMain/kotlin/me/rerere/common/crypto/PlatformSecureRandom.jvm.kt
common/src/androidMain/kotlin/me/rerere/common/crypto/PlatformCrypto.android.kt
common/src/iosMain/kotlin/me/rerere/common/crypto/PlatformCrypto.ios.kt
common/src/jvmMain/kotlin/me/rerere/common/crypto/PlatformCrypto.jvm.kt
ai/src/commonMain/kotlin/me/rerere/ai/provider/providers/vertex/DefaultVertexRsaSha256Signer.kt
ai/src/androidMain/kotlin/me/rerere/ai/provider/providers/vertex/JdkVertexRsaSha256Signer.kt
ai/src/jvmMain/kotlin/me/rerere/ai/provider/providers/vertex/JdkVertexRsaSha256Signer.jvm.kt
ai/src/iosMain/kotlin/me/rerere/ai/provider/providers/vertex/VertexRsaSha256Signer.ios.kt
app/src/main/java/me/rerere/rikkahub/data/sync/s3/JdkSha256Crypto.kt",459,15,459,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
R04,合理保留,本地化时间和数值 util,TimeUtil.kt 与多处 java.time/Locale/format 使用,同一工具多处复用；计算用 Kotlin 时间，Locale 格式化使用 expect/actual。,REQUIRED_FOR_KMP / REWRITEABLE + ANDROID_ONLY,保留原精度/格式/时区，普通 epoch 调用直接替换。,"common/src/commonMain/kotlin/me/rerere/common/time/CalendarDate.kt
common/src/commonMain/kotlin/me/rerere/common/time/FileTimestamp.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/utils/SharedUiFormatter.kt
composeApp/src/androidMain/kotlin/me/rerere/rikkahub/utils/SharedUiFormatter.android.kt
composeApp/src/iosMain/kotlin/me/rerere/rikkahub/utils/SharedUiFormatter.ios.kt
composeApp/src/jvmMain/kotlin/me/rerere/rikkahub/utils/SharedUiFormatter.jvm.kt
app/src/main/java/me/rerere/rikkahub/data/ai/tools/local/LocalToolTimePolicy.kt",374,7,374,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
R05,合理保留,Key 轮换持久化与锁,ai/util/KeyRoulette.kt 内原 LRU 文件持久化,轮换算法原先存在；文件读写、缓存路径和同步锁需适配。,REQUIRED_FOR_KMP / REWRITEABLE + ANDROID_ONLY,保留算法/缓存格式，只隔离 I/O/锁。,"ai/src/commonMain/kotlin/me/rerere/ai/util/PersistentKeyRoulette.kt
ai/src/androidMain/kotlin/me/rerere/ai/util/PersistentKeyRoulette.android.kt
ai/src/androidMain/kotlin/me/rerere/ai/util/KeyRouletteFileLock.android.kt
ai/src/iosMain/kotlin/me/rerere/ai/util/KeyRouletteFileLock.ios.kt
ai/src/jvmMain/kotlin/me/rerere/ai/util/KeyRouletteFileLock.jvm.kt
ai/src/commonMain/kotlin/me/rerere/ai/util/KeyRoulette.kt",166,5,79,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
R06,合理保留,高亮同步锁,highlight/core/GrammarLocator.kt 的 JVM 同步,窄 expect/actual 锁，未把高亮业务变成新 runtime。,REQUIRED_FOR_KMP / ANDROID_ONLY,可作为最小平台适配示例。,"highlight/src/commonMain/kotlin/me/rerere/highlight/core/HighlightLock.kt
highlight/src/androidMain/kotlin/me/rerere/highlight/core/HighlightLock.android.kt
highlight/src/iosMain/kotlin/me/rerere/highlight/core/HighlightLock.ios.kt
highlight/src/jvmMain/kotlin/me/rerere/highlight/core/HighlightLock.jvm.kt",35,4,35,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
R07,合理保留,搜索反射替代,SearchServiceOptions 反射创建与 Bing Locale,显式构造注册表替代 kotlin-reflect；locale 为真实平台差异。,REQUIRED_FOR_KMP / REWRITEABLE,保留原 provider 对应关系及默认值。,"search/src/commonMain/kotlin/me/rerere/search/SearchProviderRegistry.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/setting/SearchServiceOptionsFactory.kt
search/src/androidMain/kotlin/me/rerere/search/SearchLocale.android.kt
search/src/iosMain/kotlin/me/rerere/search/SearchLocale.ios.kt
search/src/jvmMain/kotlin/me/rerere/search/SearchLocale.jvm.kt
search/src/commonMain/kotlin/me/rerere/search/BingSearchService.kt",309,5,204,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
R08,合理保留,数据库/DataStore 构建及旧偏好适配,PreferencesStore.kt + AppDatabase.kt + preference hooks + ConversationRepository.kt,数据库路径、Android SharedPreferences 和 SQLite 驱动/异常适配必要；不是整套业务仓库抽象。,REQUIRED_FOR_KMP / VERSION_GATED,保留旧 key/文件名/schema；Room3 升级是否必要另列，勿混同。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/datastore/SettingsDataStore.kt
composeApp/src/androidMain/kotlin/me/rerere/rikkahub/data/datastore/AndroidSettingsDataStore.kt
composeApp/src/iosMain/kotlin/me/rerere/rikkahub/data/datastore/IosSettingsDataStore.kt
composeApp/src/jvmMain/kotlin/me/rerere/rikkahub/data/datastore/JvmSettingsDataStore.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/db/AppDatabaseFactory.kt
composeApp/src/iosMain/kotlin/me/rerere/rikkahub/data/db/IosAppDatabase.kt
composeApp/src/jvmMain/kotlin/me/rerere/rikkahub/data/db/JvmAppDatabase.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/db/SQLiteExtensions.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/datastore/BooleanPreferenceStore.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/datastore/StringPreferenceStore.kt
composeApp/src/androidMain/kotlin/me/rerere/rikkahub/data/datastore/AndroidBooleanPreferenceStore.kt
composeApp/src/androidMain/kotlin/me/rerere/rikkahub/data/datastore/AndroidStringPreferenceStore.kt
app/src/main/java/me/rerere/rikkahub/data/datastore/AndroidDefaultProviderDescriptions.kt
app/src/main/java/me/rerere/rikkahub/data/repository/AndroidConversationRepositoryPlatform.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/db/AppDatabase.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/db/fts/MessageFtsManager.kt",605,14,386,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
